GEO,quarter,VALUE
Newfoundland and Labrador,2017-Q3,293662
Newfoundland and Labrador,2017-Q4,280628
Newfoundland and Labrador,2018-Q1,246736
Newfoundland and Labrador,2018-Q2,266792
Newfoundland and Labrador,2018-Q3,257200
Newfoundland and Labrador,2018-Q4,224538
Newfoundland and Labrador,2019-Q1,217866
Newfoundland and Labrador,2019-Q2,186189
Newfoundland and Labrador,2019-Q3,191881
Newfoundland and Labrador,2019-Q4,208973
Newfoundland and Labrador,2020-Q1,79663
Newfoundland and Labrador,2020-Q2,24009
Newfoundland and Labrador,2020-Q3,16689
Newfoundland and Labrador,2020-Q4,18195
Newfoundland and Labrador,2021-Q1,17710
Newfoundland and Labrador,2021-Q2,19191
Newfoundland and Labrador,2021-Q3,19023
Newfoundland and Labrador,2021-Q4,36292
Newfoundland and Labrador,2022-Q1,63746
Newfoundland and Labrador,2022-Q2,103839
Newfoundland and Labrador,2022-Q3,141044
Newfoundland and Labrador,2022-Q4,140744
Newfoundland and Labrador,2023-Q1,172963
Newfoundland and Labrador,2023-Q2,132687
Newfoundland and Labrador,2023-Q3,142701
Newfoundland and Labrador,2023-Q4,152771
Newfoundland and Labrador,2024-Q1,152817
Newfoundland and Labrador,2024-Q2,57200
Northwest Territories,2010-Q1,0
Northwest Territories,2010-Q2,0
Northwest Territories,2010-Q3,0
Northwest Territories,2010-Q4,0
Northwest Territories,2011-Q1,0
Northwest Territories,2011-Q2,0
Northwest Territories,2011-Q3,0
Northwest Territories,2011-Q4,0
Northwest Territories,2012-Q1,0
Northwest Territories,2012-Q2,0
Northwest Territories,2012-Q3,0
Northwest Territories,2012-Q4,0
Northwest Territories,2013-Q1,0
Northwest Territories,2013-Q2,0
Northwest Territories,2013-Q3,0
Northwest Territories,2013-Q4,0
Northwest Territories,2014-Q1,0
Northwest Territories,2014-Q2,0
Northwest Territories,2014-Q3,0
Northwest Territories,2014-Q4,0
Northwest Territories,2015-Q1,0
Northwest Territories,2015-Q2,0
Northwest Territories,2015-Q3,0
Northwest Territories,2015-Q4,0
Northwest Territories,2016-Q1,0
Northwest Territories,2016-Q2,0
Northwest Territories,2016-Q3,0
Northwest Territories,2016-Q4,0
Northwest Territories,2017-Q1,0
Northwest Territories,2017-Q2,0
Northwest Territories,2017-Q3,0
Northwest Territories,2017-Q4,0
Northwest Territories,2018-Q1,0
Northwest Territories,2018-Q2,0
Northwest Territories,2018-Q3,0
Northwest Territories,2018-Q4,0
Northwest Territories,2019-Q1,0
Northwest Territories,2019-Q2,0
Northwest Territories,2019-Q3,0
Northwest Territories,2019-Q4,0
Northwest Territories,2020-Q1,0
Northwest Territories,2020-Q2,0
Northwest Territories,2020-Q3,0
Northwest Territories,2020-Q4,0
Northwest Territories,2021-Q1,0
Northwest Territories,2021-Q2,0
Northwest Territories,2021-Q3,0
Northwest Territories,2021-Q4,0
Northwest Territories,2022-Q1,92
