GEO,Traveller characteristics,VALUE
Ontario,United States of America residents entering Canada,291350755
Ontario,"United States of America residents, air",52920354
Ontario,"United States of America residents, land, automobile",220837325
Ontario,"United States of America residents, other modes",17592553
Prince Edward Island,Canadian residents returning from countries other than the United States of America,38998
Prince Edward Island,"Canadian residents returning from countries other than the United States of America, air",32806
Prince Edward Island,Canadian residents returning from the United States of America,18140
Prince Edward Island,"Canadian residents returning from the United States of America, air",14110
Prince Edward Island,"Canadian residents returning from the United States of America, other modes",4030
Prince Edward Island,Canadian-resident visitors returning to Canada,57140
Prince Edward Island,International travellers entering or returning to Canada,91780
Prince Edward Island,Non-resident visitors entering Canada,86378
Prince Edward Island,Other travellers entering or returning to Canada,20021
Prince Edward Island,Residents of countries other than the United States of America entering Canada,14192
Prince Edward Island,"Residents of countries other than the United States of America, air",3770
Prince Edward Island,"Residents of countries other than the United States of America, land or water",10422
Prince Edward Island,United States of America residents entering Canada,72186
Prince Edward Island,"United States of America residents, air",25666
Prince Edward Island,"United States of America residents, other modes",46520
Quebec,Canadian residents returning from countries other than the United States of America,67134803
Quebec,"Canadian residents returning from countries other than the United States of America, air",67114884
Quebec,Canadian residents returning from the United States of America,129356311
Quebec,"Canadian residents returning from the United States of America, air",29784228
Quebec,"Canadian residents returning from the United States of America, land, automobile",92544105
Quebec,"Canadian residents returning from the United States of America, other modes",7027474
Quebec,Canadian-resident visitors returning to Canada,196491296
Quebec,International travellers entering or returning to Canada,152750916
Quebec,Non-resident visitors entering Canada,84671895
Quebec,Other travellers entering or returning to Canada,12169068
Quebec,Residents of countries other than the United States of America entering Canada,26875121
Quebec,"Residents of countries other than the United States of America, air",24396618
Quebec,"Residents of countries other than the United States of America, land or water",2478306
Quebec,United States of America residents entering Canada,57796513
Quebec,"United States of America residents, air",18235912
Quebec,"United States of America residents, land, automobile",36466353
Quebec,"United States of America residents, other modes",3093719
Saskatchewan,Canadian residents returning from countries other than the United States of America,1942102
Saskatchewan,"Canadian residents returning from countries other than the United States of America, air",1941322
Saskatchewan,Canadian residents returning from the United States of America,9787440
Saskatchewan,"Canadian residents returning from the United States of America, air",2156208
Saskatchewan,"Canadian residents returning from the United States of America, land, automobile",7362268
Saskatchewan,"Canadian residents returning from the United States of America, other modes",268467
Saskatchewan,Canadian-resident visitors returning to Canada,11729709
Saskatchewan,International travellers entering or returning to Canada,9806887
Saskatchewan,Non-resident visitors entering Canada,2976088
Saskatchewan,Other travellers entering or returning to Canada,2453727
Saskatchewan,Residents of countries other than the United States of America entering Canada,90603
Saskatchewan,"Residents of countries other than the United States of America, air",57869
Saskatchewan,"Residents of countries other than the United States of America, land or water",32578
Saskatchewan,United States of America residents entering Canada,2885237
Saskatchewan,"United States of America residents, air",716413
Saskatchewan,"United States of America residents, land, automobile",2126036
Saskatchewan,"United States of America residents, other modes",42270
Yukon,Canadian residents returning from countries other than the United States of America,9580
Yukon,"Canadian residents returning from countries other than the United States of America, air",9278
Yukon,Canadian residents returning from the United States of America,1892169
Yukon,"Canadian residents returning from the United States of America, air",29650
Yukon,"Canadian residents returning from the United States of America, land, automobile",1503944
Yukon,"Canadian residents returning from the United States of America, other modes",358157
Yukon,Canadian-resident visitors returning to Canada,1901749
Yukon,International travellers entering or returning to Canada,5316609
Yukon,Non-resident visitors entering Canada,8378709
Yukon,Other travellers entering or returning to Canada,176117
Yukon,Residents of countries other than the United States of America entering Canada,1049858
Yukon,"Residents of countries other than the United States of America, air",90622
Yukon,"Residents of countries other than the United States of America, land or water",959088
Yukon,United States of America residents entering Canada,7328641
Yukon,"United States of America residents, air",109681
Yukon,"United States of America residents, land, automobile",3005103
Yukon,"United States of America residents, other modes",4213357
